Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_Count
Distemper,Vomiting,Seizures,Diarrhea,Loss of appetite,Eye Discharge,None,None,5
Distemper,Nasal Discharge,Coughing,Vomiting,Eating less than usual,Paralysis,Eye Discharge,None,6
Distemper,Depression,Seizures,Excessive Salivation,Loss of appetite,Weakness,None,None,5
Distemper,Nasal Discharge,Eating less than usual,Excessive Salivation,Loss of appetite,Weakness,Paralysis,None,6
Distemper,Nasal Discharge,Coughing,Eating less than usual,Diarrhea,Excessive Salivation,Loss of appetite,None,6
Distemper,Coughing,Depression,Seizures,Loss of appetite,Weakness,Paralysis,None,6
Distemper,Depression,Excessive Salivation,Loss of appetite,Weakness,Paralysis,Eye Discharge,None,6
Distemper,Nasal Discharge,Coughing,Vomiting,Eating less than usual,Seizures,Diarrhea,None,6
Distemper,Eating less than usual,Seizures,Paralysis,Eye Discharge,None,None,None,4
Distemper,Nasal Discharge,Depression,Seizures,Diarrhea,Loss of appetite,Eye Discharge,None,6
Distemper,Nasal Discharge,Coughing,Weakness,Paralysis,None,None,None,4
Distemper,Depression,Seizures,Excessive Salivation,Paralysis,Eye Discharge,None,None,5
Distemper,Coughing,Vomiting,Seizures,Loss of appetite,Weakness,Paralysis,None,6
Distemper,Nasal Discharge,Depression,Eating less than usual,Seizures,Excessive Salivation,Weakness,None,6
Distemper,Nasal Discharge,Coughing,Depression,Vomiting,Eating less than usual,None,None,5
Distemper,Coughing,Depression,Vomiting,Seizures,Loss of appetite,Paralysis,None,6
Distemper,Coughing,Depression,Seizures,Excessive Salivation,Eye Discharge,None,None,5
Distemper,Depression,Diarrhea,Paralysis,Eye Discharge,None,None,None,4
Distemper,Coughing,Loss of appetite,Weakness,Paralysis,Eye Discharge,None,None,5
Distemper,Nasal Discharge,Depression,Diarrhea,Weakness,Paralysis,None,None,5
Distemper,Coughing,Depression,Diarrhea,Excessive Salivation,None,None,None,4
Distemper,Vomiting,Eating less than usual,Loss of appetite,Weakness,None,None,None,4
Distemper,Seizures,Diarrhea,Excessive Salivation,Loss of appetite,Weakness,Paralysis,None,6
Distemper,Nasal Discharge,Vomiting,Seizures,Excessive Salivation,Loss of appetite,None,None,5
Distemper,Nasal Discharge,Depression,Loss of appetite,Weakness,Paralysis,None,None,5
Distemper,Nasal Discharge,Vomiting,Eating less than usual,Seizures,Diarrhea,Excessive Salivation,None,6
Distemper,Nasal Discharge,Eating less than usual,Seizures,Diarrhea,Loss of appetite,None,None,5
Distemper,Depression,Vomiting,Excessive Salivation,Paralysis,Eye Discharge,None,None,5
Distemper,Depression,Seizures,Diarrhea,Weakness,None,None,None,4
Distemper,Coughing,Vomiting,Eating less than usual,Seizures,Diarrhea,Eye Discharge,None,6
Distemper,Coughing,Vomiting,Loss of appetite,Eye Discharge,None,None,None,4
Distemper,Vomiting,Diarrhea,Excessive Salivation,Loss of appetite,Weakness,None,None,5
Distemper,Nasal Discharge,Depression,Excessive Salivation,Loss of appetite,Weakness,None,None,5
Distemper,Vomiting,Eating less than usual,Seizures,Diarrhea,Weakness,Eye Discharge,None,6
Distemper,Nasal Discharge,Vomiting,Weakness,Paralysis,None,None,None,4
Distemper,Nasal Discharge,Depression,Diarrhea,Excessive Salivation,Loss of appetite,None,None,5
Distemper,Nasal Discharge,Coughing,Depression,Eating less than usual,Diarrhea,None,None,5
Distemper,Vomiting,Eating less than usual,Paralysis,Eye Discharge,None,None,None,4
Distemper,Coughing,Diarrhea,Loss of appetite,Weakness,None,None,None,4
Distemper,Nasal Discharge,Seizures,Weakness,Eye Discharge,None,None,None,4
Distemper,Nasal Discharge,Coughing,Depression,Vomiting,Seizures,Paralysis,None,6
Distemper,Coughing,Excessive Salivation,Loss of appetite,Eye Discharge,None,None,None,4
Distemper,Coughing,Depression,Diarrhea,Loss of appetite,Weakness,Eye Discharge,None,6
Distemper,Nasal Discharge,Coughing,Depression,Seizures,Excessive Salivation,Weakness,None,6
Distemper,Coughing,Vomiting,Diarrhea,Excessive Salivation,Loss of appetite,None,None,5
Distemper,Eating less than usual,Diarrhea,Excessive Salivation,Eye Discharge,None,None,None,4
Distemper,Coughing,Depression,Vomiting,Seizures,None,None,None,4
Distemper,Nasal Discharge,Vomiting,Eating less than usual,Diarrhea,Excessive Salivation,None,None,5
Distemper,Nasal Discharge,Depression,Eating less than usual,Diarrhea,Weakness,Paralysis,None,6
Distemper,Depression,Diarrhea,Excessive Salivation,Weakness,Paralysis,Eye Discharge,None,6
Distemper,Vomiting,Diarrhea,Excessive Salivation,Loss of appetite,Paralysis,Eye Discharge,None,6
Distemper,Coughing,Vomiting,Eating less than usual,Seizures,Weakness,Eye Discharge,None,6
Distemper,Coughing,Eating less than usual,Diarrhea,Weakness,Paralysis,None,None,5
Distemper,Eating less than usual,Seizures,Diarrhea,Excessive Salivation,Loss of appetite,Weakness,None,6
Distemper,Nasal Discharge,Depression,Eating less than usual,Seizures,Excessive Salivation,Loss of appetite,None,6
Distemper,Depression,Seizures,Diarrhea,Eye Discharge,None,None,None,4
Distemper,Coughing,Depression,Vomiting,Diarrhea,Weakness,Paralysis,None,6
Distemper,Nasal Discharge,Depression,Vomiting,Loss of appetite,Weakness,Eye Discharge,None,6
Distemper,Coughing,Depression,Weakness,Paralysis,Eye Discharge,None,None,5
Distemper,Coughing,Seizures,Weakness,Paralysis,Eye Discharge,None,None,5
Distemper,Nasal Discharge,Eating less than usual,Diarrhea,Loss of appetite,Eye Discharge,None,None,5
Distemper,Coughing,Vomiting,Diarrhea,Excessive Salivation,Eye Discharge,None,None,5
Distemper,Nasal Discharge,Depression,Eating less than usual,Diarrhea,Excessive Salivation,None,None,5
Distemper,Coughing,Depression,Seizures,Excessive Salivation,None,None,None,4
Distemper,Nasal Discharge,Coughing,Depression,Seizures,Weakness,None,None,5
Distemper,Nasal Discharge,Coughing,Depression,Vomiting,Weakness,Eye Discharge,None,6
Distemper,Coughing,Depression,Seizures,Diarrhea,Paralysis,None,None,5
Distemper,Nasal Discharge,Coughing,Excessive Salivation,Loss of appetite,Eye Discharge,None,None,5
Distemper,Nasal Discharge,Coughing,Vomiting,Loss of appetite,Weakness,Eye Discharge,None,6
Distemper,Vomiting,Diarrhea,Excessive Salivation,Weakness,Paralysis,Eye Discharge,None,6
Distemper,Nasal Discharge,Vomiting,Seizures,Excessive Salivation,Weakness,Paralysis,None,6
Distemper,Coughing,Depression,Weakness,Paralysis,None,None,None,4
Distemper,Nasal Discharge,Depression,Weakness,Paralysis,Eye Discharge,None,None,5
Distemper,Depression,Vomiting,Seizures,Excessive Salivation,Weakness,None,None,5
Distemper,Nasal Discharge,Coughing,Vomiting,Diarrhea,Loss of appetite,Paralysis,None,6
Distemper,Depression,Eating less than usual,Seizures,Excessive Salivation,Loss of appetite,Weakness,None,6
Distemper,Vomiting,Eating less than usual,Diarrhea,Loss of appetite,Paralysis,Eye Discharge,None,6
Distemper,Coughing,Depression,Excessive Salivation,Loss of appetite,Paralysis,None,None,5
Distemper,Nasal Discharge,Coughing,Vomiting,Loss of appetite,Weakness,None,None,5
Distemper,Eating less than usual,Seizures,Diarrhea,Excessive Salivation,Eye Discharge,None,None,5
Distemper,Depression,Vomiting,Seizures,Excessive Salivation,Weakness,Eye Discharge,None,6
Distemper,Depression,Eating less than usual,Excessive Salivation,Weakness,None,None,None,4
Distemper,Coughing,Depression,Eating less than usual,Diarrhea,None,None,None,4
Distemper,Coughing,Vomiting,Seizures,Excessive Salivation,Weakness,Eye Discharge,None,6
Distemper,Nasal Discharge,Depression,Diarrhea,Loss of appetite,Eye Discharge,None,None,5
Distemper,Depression,Vomiting,Diarrhea,Excessive Salivation,Paralysis,None,None,5
Distemper,Coughing,Depression,Vomiting,Diarrhea,Loss of appetite,Weakness,None,6
Distemper,Nasal Discharge,Depression,Seizures,Diarrhea,Paralysis,Eye Discharge,None,6
Distemper,Nasal Discharge,Vomiting,Diarrhea,Excessive Salivation,Loss of appetite,Weakness,None,6
Distemper,Nasal Discharge,Vomiting,Eating less than usual,Seizures,Excessive Salivation,None,None,5
Distemper,Coughing,Depression,Vomiting,Seizures,Loss of appetite,Eye Discharge,None,6
Distemper,Coughing,Depression,Eating less than usual,Seizures,Loss of appetite,Paralysis,None,6
Distemper,Nasal Discharge,Eating less than usual,Excessive Salivation,Loss of appetite,Eye Discharge,None,None,5
Distemper,Vomiting,Seizures,Excessive Salivation,Loss of appetite,Weakness,Paralysis,None,6
Distemper,Coughing,Seizures,Diarrhea,Loss of appetite,Eye Discharge,None,None,5
Distemper,Coughing,Seizures,Diarrhea,Excessive Salivation,Paralysis,Eye Discharge,None,6
Distemper,Eating less than usual,Seizures,Weakness,Paralysis,Eye Discharge,None,None,5
Distemper,Vomiting,Eating less than usual,Diarrhea,Loss of appetite,Paralysis,None,None,5
Distemper,Coughing,Eating less than usual,Seizures,Weakness,Paralysis,None,None,5
Distemper,Depression,Vomiting,Eating less than usual,Diarrhea,Paralysis,None,None,5
Distemper,Vomiting,Eating less than usual,Excessive Salivation,Loss of appetite,Paralysis,Eye Discharge,None,6
Distemper,Nasal Discharge,Depression,Excessive Salivation,Loss of appetite,Paralysis,None,None,5
Distemper,Vomiting,Diarrhea,Loss of appetite,Eye Discharge,None,None,None,4
Distemper,Nasal Discharge,Vomiting,Excessive Salivation,Weakness,Paralysis,None,None,5
Distemper,Eating less than usual,Seizures,Excessive Salivation,Eye Discharge,None,None,None,4
Distemper,Nasal Discharge,Coughing,Depression,Diarrhea,Excessive Salivation,None,None,5
Distemper,Nasal Discharge,Vomiting,Excessive Salivation,Weakness,None,None,None,4
Distemper,Nasal Discharge,Seizures,Diarrhea,Excessive Salivation,Eye Discharge,None,None,5
Distemper,Nasal Discharge,Coughing,Diarrhea,Weakness,Eye Discharge,None,None,5
Distemper,Vomiting,Eating less than usual,Diarrhea,Excessive Salivation,Weakness,None,None,5
Distemper,Nasal Discharge,Depression,Excessive Salivation,Loss of appetite,Weakness,Eye Discharge,None,6
Distemper,Coughing,Vomiting,Weakness,Eye Discharge,None,None,None,4
Distemper,Seizures,Diarrhea,Excessive Salivation,Weakness,None,None,None,4
Distemper,Nasal Discharge,Depression,Diarrhea,Paralysis,None,None,None,4
Distemper,Nasal Discharge,Coughing,Vomiting,Diarrhea,None,None,None,4
Distemper,Vomiting,Eating less than usual,Weakness,Paralysis,None,None,None,4
Distemper,Coughing,Depression,Vomiting,Excessive Salivation,Weakness,Paralysis,None,6
Distemper,Depression,Eating less than usual,Seizures,Weakness,Paralysis,None,None,5
Distemper,Coughing,Depression,Excessive Salivation,Loss of appetite,Weakness,Eye Discharge,None,6
Distemper,Nasal Discharge,Depression,Vomiting,Eating less than usual,Weakness,Paralysis,None,6
Distemper,Coughing,Vomiting,Seizures,Diarrhea,Paralysis,Eye Discharge,None,6
Distemper,Coughing,Depression,Vomiting,Excessive Salivation,Loss of appetite,Eye Discharge,None,6
Distemper,Nasal Discharge,Vomiting,Diarrhea,Loss of appetite,Weakness,Paralysis,None,6
Distemper,Nasal Discharge,Coughing,Eating less than usual,Seizures,Diarrhea,Eye Discharge,None,6
Distemper,Nasal Discharge,Seizures,Loss of appetite,Weakness,Paralysis,Eye Discharge,None,6
Distemper,Vomiting,Eating less than usual,Weakness,Paralysis,Eye Discharge,None,None,5
Distemper,Nasal Discharge,Eating less than usual,Seizures,Weakness,None,None,None,4
Distemper,Depression,Vomiting,Loss of appetite,Weakness,Eye Discharge,None,None,5
Distemper,Eating less than usual,Seizures,Diarrhea,Weakness,Paralysis,Eye Discharge,None,6
Distemper,Depression,Vomiting,Seizures,Loss of appetite,Paralysis,None,None,5
Distemper,Nasal Discharge,Eating less than usual,Diarrhea,Loss of appetite,Weakness,Paralysis,None,6
Distemper,Nasal Discharge,Vomiting,Excessive Salivation,Weakness,Eye Discharge,None,None,5
Distemper,Nasal Discharge,Coughing,Eating less than usual,Diarrhea,Loss of appetite,Eye Discharge,None,6
Distemper,Nasal Discharge,Seizures,Excessive Salivation,Loss of appetite,Paralysis,None,None,5
Distemper,Coughing,Eating less than usual,Seizures,Diarrhea,Eye Discharge,None,None,5
Distemper,Nasal Discharge,Depression,Vomiting,Excessive Salivation,None,None,None,4
Distemper,Nasal Discharge,Vomiting,Diarrhea,Excessive Salivation,Loss of appetite,None,None,5
Distemper,Coughing,Depression,Vomiting,Excessive Salivation,Eye Discharge,None,None,5
Distemper,Coughing,Depression,Seizures,Eye Discharge,None,None,None,4
Distemper,Depression,Eating less than usual,Seizures,Diarrhea,Excessive Salivation,None,None,5
Distemper,Coughing,Diarrhea,Weakness,Eye Discharge,None,None,None,4
Distemper,Depression,Seizures,Excessive Salivation,Weakness,Eye Discharge,None,None,5
Distemper,Coughing,Vomiting,Eating less than usual,Seizures,Diarrhea,None,None,5
Distemper,Nasal Discharge,Depression,Vomiting,Seizures,Loss of appetite,Eye Discharge,None,6
Distemper,Nasal Discharge,Eating less than usual,Weakness,Eye Discharge,None,None,None,4
Distemper,Nasal Discharge,Eating less than usual,Diarrhea,Excessive Salivation,Paralysis,None,None,5
Distemper,Eating less than usual,Seizures,Loss of appetite,Paralysis,Eye Discharge,None,None,5
Distemper,Depression,Eating less than usual,Seizures,Diarrhea,Excessive Salivation,Eye Discharge,None,6
Distemper,Vomiting,Eating less than usual,Diarrhea,Weakness,Eye Discharge,None,None,5
Distemper,Coughing,Depression,Seizures,Paralysis,None,None,None,4
Distemper,Coughing,Depression,Eating less than usual,Seizures,Loss of appetite,Eye Discharge,None,6
Distemper,Eating less than usual,Diarrhea,Loss of appetite,Eye Discharge,None,None,None,4
Distemper,Depression,Vomiting,Diarrhea,Excessive Salivation,Weakness,Paralysis,None,6
Distemper,Nasal Discharge,Coughing,Depression,Diarrhea,Weakness,None,None,5
Distemper,Nasal Discharge,Depression,Eating less than usual,Diarrhea,Excessive Salivation,Paralysis,None,6
Parvovirus,Lethargy,Vomiting,Discomfort,Redness around Eye area,Weakness,Depression,None,6
Parvovirus,Lethargy,Discomfort,Sepsis,Depression,Anorexia,Discomfort,None,6
Parvovirus,Redness around Eye area,Sepsis,Weakness,Anorexia,Discomfort,None,None,5
Parvovirus,Lethargy,Vomiting,Diarrhea,Severe Dehydration,Pain,Weakness,None,6
Parvovirus,Lethargy,Sepsis,Weakness,Depression,Discomfort,None,None,5
Parvovirus,Lethargy,Vomiting,Diarrhea,Pain,Sepsis,None,None,5
Parvovirus,Lethargy,Severe Dehydration,Sepsis,Depression,None,None,None,4
Parvovirus,Vomiting,Severe Dehydration,Redness around Eye area,Weakness,Depression,Discomfort,None,6
Parvovirus,Severe Dehydration,Pain,Discomfort,Redness around Eye area,Anorexia,None,None,5
Parvovirus,Lethargy,Diarrhea,Discomfort,Sepsis,Depression,Anorexia,None,6
Parvovirus,Lethargy,Diarrhea,Severe Dehydration,Pain,Discomfort,Discomfort,None,6
Parvovirus,Lethargy,Vomiting,Sepsis,Weakness,Depression,Discomfort,None,6
Parvovirus,Vomiting,Diarrhea,Redness around Eye area,Anorexia,Discomfort,None,None,5
Parvovirus,Lethargy,Severe Dehydration,Discomfort,Redness around Eye area,Depression,Discomfort,None,6
Parvovirus,Lethargy,Diarrhea,Discomfort,Redness around Eye area,Anorexia,None,None,5
Parvovirus,Vomiting,Severe Dehydration,Redness around Eye area,Weakness,Depression,None,None,5
Parvovirus,Lethargy,Discomfort,Weakness,Discomfort,None,None,None,4
Parvovirus,Lethargy,Vomiting,Diarrhea,Weakness,Depression,Anorexia,None,6
Parvovirus,Diarrhea,Discomfort,Weakness,Depression,None,None,None,4
Parvovirus,Pain,Sepsis,Depression,Anorexia,None,None,None,4
Parvovirus,Lethargy,Diarrhea,Severe Dehydration,Redness around Eye area,Anorexia,None,None,5
Parvovirus,Lethargy,Discomfort,Sepsis,Depression,Anorexia,None,None,5
Parvovirus,Lethargy,Vomiting,Severe Dehydration,Discomfort,Redness around Eye area,None,None,5
Parvovirus,Vomiting,Diarrhea,Severe Dehydration,Discomfort,Weakness,None,None,5
Parvovirus,Lethargy,Severe Dehydration,Discomfort,Redness around Eye area,Anorexia,None,None,5
Parvovirus,Lethargy,Vomiting,Severe Dehydration,Discomfort,Sepsis,Weakness,None,6
Parvovirus,Lethargy,Diarrhea,Severe Dehydration,Discomfort,Redness around Eye area,Depression,None,6
Parvovirus,Lethargy,Vomiting,Severe Dehydration,Sepsis,Weakness,Discomfort,None,6
Parvovirus,Vomiting,Severe Dehydration,Redness around Eye area,Sepsis,Depression,None,None,5
Parvovirus,Vomiting,Redness around Eye area,Weakness,Anorexia,Discomfort,None,None,5
Parvovirus,Vomiting,Severe Dehydration,Discomfort,Weakness,None,None,None,4
Parvovirus,Lethargy,Diarrhea,Pain,Weakness,Anorexia,Discomfort,None,6
Parvovirus,Lethargy,Vomiting,Discomfort,Sepsis,Weakness,Anorexia,None,6
Parvovirus,Lethargy,Vomiting,Diarrhea,Discomfort,Discomfort,None,None,5
Parvovirus,Lethargy,Discomfort,Sepsis,Depression,Discomfort,None,None,5
Parvovirus,Diarrhea,Severe Dehydration,Sepsis,Depression,None,None,None,4
Parvovirus,Lethargy,Discomfort,Sepsis,Weakness,None,None,None,4
Parvovirus,Lethargy,Vomiting,Redness around Eye area,Anorexia,None,None,None,4
Parvovirus,Lethargy,Vomiting,Diarrhea,Pain,Discomfort,None,None,5
Parvovirus,Lethargy,Vomiting,Severe Dehydration,Discomfort,Redness around Eye area,Weakness,None,6
Parvovirus,Vomiting,Discomfort,Weakness,Depression,Anorexia,Discomfort,None,6
Parvovirus,Diarrhea,Pain,Sepsis,Weakness,None,None,None,4
Parvovirus,Lethargy,Vomiting,Pain,Sepsis,Weakness,Depression,None,6
Parvovirus,Lethargy,Sepsis,Weakness,Depression,None,None,None,4
Parvovirus,Vomiting,Discomfort,Sepsis,Weakness,Anorexia,Discomfort,None,6
Parvovirus,Diarrhea,Pain,Discomfort,Depression,Discomfort,None,None,5
Parvovirus,Pain,Discomfort,Weakness,Anorexia,None,None,None,4
Parvovirus,Lethargy,Discomfort,Sepsis,Weakness,Depression,Anorexia,None,6
Parvovirus,Lethargy,Severe Dehydration,Discomfort,Redness around Eye area,Depression,None,None,5
Parvovirus,Vomiting,Pain,Discomfort,Weakness,Depression,Anorexia,None,6
Parvovirus,Lethargy,Vomiting,Severe Dehydration,Pain,Redness around Eye area,Weakness,None,6
Parvovirus,Lethargy,Diarrhea,Discomfort,Weakness,None,None,None,4
Parvovirus,Diarrhea,Pain,Redness around Eye area,Sepsis,Discomfort,None,None,5
Parvovirus,Diarrhea,Redness around Eye area,Depression,Anorexia,None,None,None,4
Parvovirus,Lethargy,Diarrhea,Redness around Eye area,Weakness,Anorexia,None,None,5
Parvovirus,Lethargy,Vomiting,Diarrhea,Severe Dehydration,Weakness,None,None,5
Parvovirus,Diarrhea,Pain,Discomfort,Sepsis,Depression,Anorexia,None,6
Parvovirus,Vomiting,Severe Dehydration,Sepsis,Weakness,None,None,None,4
Parvovirus,Diarrhea,Pain,Discomfort,Depression,None,None,None,4
Parvovirus,Lethargy,Severe Dehydration,Pain,Redness around Eye area,None,None,None,4
Parvovirus,Lethargy,Vomiting,Discomfort,Redness around Eye area,Weakness,None,None,5
Parvovirus,Vomiting,Pain,Discomfort,Redness around Eye area,Depression,Discomfort,None,6
Parvovirus,Lethargy,Diarrhea,Severe Dehydration,Anorexia,Discomfort,None,None,5
Parvovirus,Severe Dehydration,Discomfort,Redness around Eye area,Weakness,Discomfort,None,None,5
Parvovirus,Lethargy,Discomfort,Redness around Eye area,Depression,Discomfort,None,None,5
Parvovirus,Lethargy,Vomiting,Sepsis,Weakness,Anorexia,Discomfort,None,6
Parvovirus,Lethargy,Severe Dehydration,Pain,Sepsis,Weakness,Anorexia,None,6
Parvovirus,Diarrhea,Severe Dehydration,Pain,Sepsis,Weakness,Discomfort,None,6
Parvovirus,Severe Dehydration,Pain,Redness around Eye area,Weakness,None,None,None,4
Parvovirus,Lethargy,Pain,Discomfort,Redness around Eye area,Sepsis,Depression,None,6
Parvovirus,Pain,Discomfort,Sepsis,Depression,Anorexia,Discomfort,None,6
Parvovirus,Diarrhea,Severe Dehydration,Discomfort,Redness around Eye area,Weakness,Anorexia,None,6
Parvovirus,Vomiting,Diarrhea,Pain,Sepsis,Depression,Anorexia,None,6
Parvovirus,Vomiting,Pain,Sepsis,Weakness,Anorexia,None,None,5
Parvovirus,Severe Dehydration,Pain,Discomfort,Sepsis,Anorexia,None,None,5
Parvovirus,Lethargy,Vomiting,Weakness,Anorexia,None,None,None,4
Parvovirus,Vomiting,Diarrhea,Severe Dehydration,Weakness,Anorexia,Discomfort,None,6
Parvovirus,Lethargy,Pain,Redness around Eye area,Depression,Anorexia,Discomfort,None,6
Parvovirus,Severe Dehydration,Discomfort,Redness around Eye area,Sepsis,Depression,Anorexia,None,6
Parvovirus,Lethargy,Severe Dehydration,Pain,Sepsis,Anorexia,None,None,5
Parvovirus,Lethargy,Vomiting,Severe Dehydration,Discomfort,Redness around Eye area,Depression,None,6
Parvovirus,Lethargy,Vomiting,Diarrhea,Weakness,Depression,Discomfort,None,6
Parvovirus,Vomiting,Severe Dehydration,Weakness,Depression,None,None,None,4
Parvovirus,Discomfort,Redness around Eye area,Sepsis,Weakness,Anorexia,None,None,5
Parvovirus,Lethargy,Vomiting,Severe Dehydration,Pain,Redness around Eye area,Sepsis,None,6
Parvovirus,Lethargy,Vomiting,Diarrhea,Severe Dehydration,Sepsis,Depression,None,6
Parvovirus,Lethargy,Redness around Eye area,Sepsis,Anorexia,None,None,None,4
Parvovirus,Vomiting,Pain,Redness around Eye area,Sepsis,Depression,None,None,5
Parvovirus,Vomiting,Pain,Sepsis,Weakness,Depression,Anorexia,None,6
Parvovirus,Diarrhea,Pain,Discomfort,Redness around Eye area,Weakness,None,None,5
Parvovirus,Lethargy,Pain,Depression,Anorexia,None,None,None,4
Parvovirus,Lethargy,Severe Dehydration,Redness around Eye area,Discomfort,None,None,None,4
Parvovirus,Lethargy,Vomiting,Diarrhea,Discomfort,Weakness,Depression,None,6
Parvovirus,Lethargy,Vomiting,Severe Dehydration,Anorexia,None,None,None,4
Parvovirus,Vomiting,Severe Dehydration,Discomfort,Redness around Eye area,Weakness,Depression,None,6
Parvovirus,Vomiting,Diarrhea,Redness around Eye area,Sepsis,None,None,None,4
Parvovirus,Diarrhea,Redness around Eye area,Sepsis,Anorexia,None,None,None,4
Parvovirus,Lethargy,Discomfort,Redness around Eye area,Discomfort,None,None,None,4
Parvovirus,Severe Dehydration,Redness around Eye area,Sepsis,Weakness,Depression,Discomfort,None,6
Parvovirus,Severe Dehydration,Redness around Eye area,Weakness,Depression,None,None,None,4
Parvovirus,Diarrhea,Pain,Redness around Eye area,Weakness,Anorexia,Discomfort,None,6
Parvovirus,Vomiting,Redness around Eye area,Depression,Anorexia,Discomfort,None,None,5
Parvovirus,Lethargy,Vomiting,Pain,Depression,None,None,None,4
Parvovirus,Vomiting,Pain,Redness around Eye area,Anorexia,None,None,None,4
Parvovirus,Pain,Discomfort,Redness around Eye area,Anorexia,Discomfort,None,None,5
Parvovirus,Diarrhea,Pain,Discomfort,Redness around Eye area,Weakness,Depression,None,6
Parvovirus,Lethargy,Vomiting,Diarrhea,Discomfort,Redness around Eye area,Weakness,None,6
Parvovirus,Lethargy,Severe Dehydration,Pain,Discomfort,Discomfort,None,None,5
Parvovirus,Vomiting,Diarrhea,Discomfort,Redness around Eye area,Weakness,None,None,5
Parvovirus,Severe Dehydration,Redness around Eye area,Sepsis,Weakness,Anorexia,None,None,5
Parvovirus,Pain,Weakness,Depression,Discomfort,None,None,None,4
Parvovirus,Pain,Discomfort,Sepsis,Depression,Anorexia,None,None,5
Parvovirus,Lethargy,Vomiting,Diarrhea,Severe Dehydration,Pain,Anorexia,None,6
Parvovirus,Lethargy,Discomfort,Depression,Anorexia,Discomfort,None,None,5
Parvovirus,Lethargy,Severe Dehydration,Pain,Redness around Eye area,Weakness,None,None,5
Parvovirus,Lethargy,Severe Dehydration,Sepsis,Weakness,Depression,Anorexia,None,6
Parvovirus,Lethargy,Vomiting,Diarrhea,Sepsis,None,None,None,4
Parvovirus,Severe Dehydration,Redness around Eye area,Sepsis,Depression,Discomfort,None,None,5
Parvovirus,Lethargy,Diarrhea,Redness around Eye area,Sepsis,Discomfort,None,None,5
Parvovirus,Lethargy,Pain,Discomfort,Sepsis,None,None,None,4
Parvovirus,Redness around Eye area,Sepsis,Weakness,Discomfort,None,None,None,4
Parvovirus,Lethargy,Severe Dehydration,Weakness,Anorexia,None,None,None,4
Parvovirus,Vomiting,Pain,Discomfort,Anorexia,Discomfort,None,None,5
Parvovirus,Lethargy,Vomiting,Diarrhea,Pain,Redness around Eye area,Depression,None,6
Parvovirus,Vomiting,Diarrhea,Severe Dehydration,Weakness,Anorexia,None,None,5
Parvovirus,Lethargy,Diarrhea,Severe Dehydration,Pain,Redness around Eye area,Depression,None,6
Parvovirus,Pain,Discomfort,Sepsis,Weakness,Discomfort,None,None,5
Parvovirus,Diarrhea,Severe Dehydration,Redness around Eye area,Sepsis,Depression,None,None,5
Parvovirus,Lethargy,Severe Dehydration,Pain,Discomfort,Anorexia,None,None,5
Parvovirus,Vomiting,Pain,Redness around Eye area,Sepsis,Weakness,Depression,None,6
Parvovirus,Lethargy,Diarrhea,Discomfort,Redness around Eye area,Depression,Discomfort,None,6
Parvovirus,Severe Dehydration,Discomfort,Redness around Eye area,Weakness,Depression,Anorexia,None,6
Parvovirus,Vomiting,Severe Dehydration,Weakness,Depression,Anorexia,Discomfort,None,6
Parvovirus,Sepsis,Weakness,Depression,Anorexia,None,None,None,4
Parvovirus,Lethargy,Vomiting,Diarrhea,Redness around Eye area,None,None,None,4
Parvovirus,Vomiting,Diarrhea,Weakness,Discomfort,None,None,None,4
Parvovirus,Vomiting,Pain,Weakness,Depression,Anorexia,Discomfort,None,6
Parvovirus,Lethargy,Vomiting,Severe Dehydration,Discomfort,Sepsis,Anorexia,None,6
Parvovirus,Lethargy,Diarrhea,Redness around Eye area,Sepsis,Depression,None,None,5
Parvovirus,Lethargy,Vomiting,Pain,Sepsis,Depression,Anorexia,None,6
Parvovirus,Lethargy,Discomfort,Redness around Eye area,Sepsis,Anorexia,None,None,5
Parvovirus,Lethargy,Discomfort,Redness around Eye area,Weakness,Anorexia,Discomfort,None,6
Parvovirus,Vomiting,Discomfort,Redness around Eye area,Weakness,Depression,Discomfort,None,6
Parvovirus,Lethargy,Vomiting,Severe Dehydration,Weakness,Anorexia,None,None,5
Parvovirus,Lethargy,Pain,Redness around Eye area,Sepsis,Discomfort,None,None,5
Parvovirus,Vomiting,Severe Dehydration,Pain,Redness around Eye area,Weakness,Anorexia,None,6
Parvovirus,Lethargy,Vomiting,Sepsis,Depression,Anorexia,None,None,5
Parvovirus,Lethargy,Vomiting,Diarrhea,Redness around Eye area,Weakness,None,None,5
Parvovirus,Pain,Discomfort,Sepsis,Depression,Discomfort,None,None,5
Parvovirus,Vomiting,Severe Dehydration,Pain,Weakness,None,None,None,4
Parvovirus,Pain,Discomfort,Sepsis,Weakness,Anorexia,Discomfort,None,6
Parvovirus,Lethargy,Severe Dehydration,Redness around Eye area,Sepsis,Anorexia,None,None,5
Parvovirus,Lethargy,Diarrhea,Severe Dehydration,Pain,Anorexia,None,None,5
Parvovirus,Diarrhea,Pain,Weakness,Depression,Anorexia,Discomfort,None,6
Parvovirus,Vomiting,Diarrhea,Sepsis,Discomfort,None,None,None,4
Parvovirus,Diarrhea,Pain,Redness around Eye area,Sepsis,Anorexia,None,None,5
Parvovirus,Diarrhea,Severe Dehydration,Redness around Eye area,Weakness,Depression,Discomfort,None,6
